0,i am well an loving this interaction how are you ?
1,this is my favorite time of the year season wise
2,what club did you go to ? me an timothy watched tv
3,lol oh okay kind of random
4,we watched a show about animals like him
5,why does that matter any ? i went outdoors to play frisbee
6,so ? lol i want to meet my family at home in bora
7,i bet it is oh i could not
8,hi , my dad is old as well , they live close to me and i see them often
9,sure , i pick him up for church every sunday with my ford pickup
10,i guess that means you do not go hunting often ? i love hunting , i own 3 guns
11,yeah me too , i am conservative so i love church and hunting
12,fishing is good . i love fishing as well
13,yes that must be hard , i hope things get better for you
14,yes i agree . i try to enjoy life too , whenever i am not working
15,yeah but i go to church every sunday so my weekends are usually booked
16,no , i work full time at a nursing home . i am a nurses aide .
17,nice . yes i do . caring for people is the joy of my life .
18,very cool . do you have pets ?
19,yes . two dogs and a cat . they are my babies .
20,i live in texas . i love riding my bike here .
21,yes i am . i have always been a christian .
22,oh really ? so you do not go to church often ?
23,i see . that is very cool . i enjoy hearing about other practices .
24,yes we got to act quickly
25,i never have juice , just water .
26,yes i do i work on the baby floor an i want no kids lol
27,no it is easy especially being single an i like it
28,i do get it i do
29,yes get on it now
30,anytime are you okay now ?
31,do you where do you go ?
32,good , do you like animals ?
33,i have 2 dogs , they are great , where do you work ?
34,are you afraid of heights ? i certainly am
35,sure i like tv , what do you watch ?
36,i do not have time to watch tv , i am an attorney so i work alot
37,i certainly am , i am part native american , i live here in oklahoma
38,well i do not like heights very much and i love animals . what about you ?
39,i am not much fun either . so what else is new with you ?
40,i am well . how about you ?
41,me too . what do you do for a living ?
42,i get that ! i am a doctor . pediatrics to be exact . do anything for fun ?
43,me too ! well , i do not have any dogs , but i run everyday !
44,yes , it helps me clear my mind . i also love to read to escape reality sometimes too
45,california . where do you live ?
46,lol . i am scared of heights too . do you like to listen to music ?
47,jazz . i love the smooth tunes !
48,a younger brother and no children is all . besides dad
49,really . fish raw is my meal . what kind of fish ?
50,my family is nice . we spend time at the weight room a lot
51,we work out to hip hop artists and i love the 1990 era
52,yes it is . i cherish those moments .
53,am i how much younger ? how old are you ?
54,no i do not . only fruit and coconut juice . also , water and supplements
55,that is what is good for the body and spirit .
56,that is really sad . do you have any siblings
57,that was nice of him . i am almost done with college
58,i am almost done i only have two years left in law school .
59,that sounds important . maybe one day you will go back to school
60,i do not know if we would be able to do anything because is has been so long
61,do not you have to be older than 15 to work at mcdonalds ? that sounds illegal
62,that is horrible and verry illegal
63,i would love to help . i am not able to practice yet though
64,great , i just finished a huge steak how are you ?
65,i am major meat eater to build muscles
66,scotch goes good with meat
67,i have a brother who likes scotch
68,i have just the one brother and 3 sisters
69,i have a cat and a dog you would not be scared of my dog
70,i am a secretary like my mom hard living and you ?
71,do you want to write a story about a major meat eating bodybuilder ?
72,i am great ! that is cool , i just got home from hunting .
73,i do like the outdoors . . . as well as restoring classic cars . i am in missouri .
74,that is good . i work as a handyman for a company that rents properties .
75,i am a single parent as well . just me and my baby girl .
76,it is fun to go shopping for her
77,she happens to like pink a lot . . .
78,lol . i have bought neutral colored items for her but she likes girly clothes .
79,sorry , i do not like music , i like reading mystery books .
80,growing up on a farm , you learn to read a lot more .
81,nice , my job is being a truck driver , i have seven kids to feed .
82,i like running , but i have no time .
83,it does , i like to wear my favorite color blue when i do run .
84,there is a local trail near my house in the mountains that i like .
85,yes , the peach and the quiet , it is heaven .
86,i bet it is hard , like karate .
87,hello , doing good thanks ! no i am a wildcats fan lol
88,no i ma not . go figure i am cats fan and allergic to cats lol .
89,agree . i live in a small town in kentucky .
90,so we are semi close neighbors .
91,no . i enjoy crafts and this new game that i am trying to learn .
92,i live close to where daniel boone roamed .
93,i have been to small town there called mansfield .
94,yes it was very nice to visit where the movie was made at .
95,i am great . i am watching one tree hill . that is my favorite show
96,is it the video where they are wearing purple ? best color ever
97,the one at the hospital ? i am a nurse at a pediatric one
98,i do not believe in sheltering animals . i am a catholic
99,you could make them into a pizza . i love to eat pizza so i would buy
100,why not ? it sounds like a good plan
101,i only like to eat animals . they look funny
102,hi . i am more the mousy type . numbers are my world at my day job . you ?
103,i am just an ohio mom with two amazing sons . not married though .
104,great pet name . i do not have any pets unless you count my car , sally .
105,yep . the leaves change here and it is beautiful . i like to hike in fall .
106,it is a great time of year for sure . do you have any hobbies ?
107,too busy with the boys for much besides hiking .
108,being a single parent is not easy . thanks for the encouragement .
109,oh i am so well ! how are you my land friend ?
110,oh i spend most of my time at school , when i am not in the water .
