targets	response	precision	recall	f1
road trip destinations,travel safety,road trip planning,scenic routes,travel companions,RV trips,travel mishaps	['road trip destinations', 'travel safety', 'road trip planning', 'scenic routes', 'travel companions', 'RV trips', 'travel mishaps']	['road trip destinations', 'travel safety', 'travel companions']	0.8019878582955783	0.9999999846242366	0.8901146021772464
vertical gardens,soil testing,urban gardening,sustainable gardening	['vertical gardens', 'soil testing', 'urban gardening', 'sustainable gardening']	['vertical gardens', 'soil testing', 'urban gardening']	0.9407895410534652	0.9999999924654365	0.9694915576541202
tech innovations,app development	['tech innovations', 'app development']	['technology reviews', 'mobile apps', 'tech trends']	0.7120760736012817	0.661268863287949	0.6857326562566918
contemporary art,art criticism,art accessibility,art exhibitions	['contemporary art', 'art criticism', 'art accessibility', 'art exhibitions']	['abstract artists', 'art criticism', 'art accessibility']	0.819413433239695	0.8809212296323526	0.8490548419068475
NBA,sports betting,basketball techniques,basketball culture	['NBA', 'sports betting', 'basketball techniques', 'basketball culture']	['basketball', 'sports betting', 'basketball culture']	0.7800490431798721	0.9266836763593623	0.8470672728061093
art history,heist stories,art recovery,famous artists	['art history', 'heist stories', 'art recovery', 'famous artists']	['Renaissance art', 'art history', 'art theft']	0.6413176559100627	0.7446224003439639	0.6891199805818844
nutrition tips,healthy recipes,fitness challenges	['nutrition tips', 'healthy recipes', 'fitness challenges']	['fitness routines', 'healthy recipes', 'fitness challenges']	0.8493749108175304	0.8960218457001625	0.8720750424683394
folklore,cultural issues,folk festivals,folk instruments	['folklore', 'cultural issues', 'folk festivals', 'folk instruments']	['folklore', 'cultural issues', 'folk festivals']	0.9030165170587412	0.9999999882339532	0.9490369672804468
blockchain applications,online security,digital currencies,blockchain impact	['blockchain applications', 'online security', 'digital currencies', 'blockchain impact']	['blockchain applications', 'online security', 'blockchain impact']	0.8264455519859187	0.9999999844713751	0.9049769321404343
swimming techniques,pool hygiene	['swimming techniques', 'pool hygiene']	['swimming techniques', 'pool hygiene', 'pool hygiene']	0.9999999900241938	0.9999999902452995	0.9999999901347466
rock legends,copyright issues	['rock legends', 'copyright issues']	['rock legends', 'music plagiarism', 'rock bands', 'music industry']	0.728882099640848	0.6387653330005234	0.68085473782671
dinosaur discoveries,museum heists,prehistoric creatures,paleontology techniques	['dinosaur discoveries', 'museum heists', 'prehistoric creatures', 'paleontology techniques']	['dinosaur discoveries', 'fossil preparation', 'paleontology digs']	0.634916777258305	0.7320418111327821	0.6800288340699661
healthy eating,meditation	['healthy eating', 'meditation']	['yoga practices', 'yoga styles', 'fitness goals']	0.4609427738035764	0.4749083990277095	0.4678213825135893
French recipes,sustainability,wine pairing,culinary schools	['French recipes', 'sustainability', 'wine pairing', 'culinary schools']	['French recipes', 'sustainability', 'culinary schools']	0.8236712938459816	0.9999999912037117	0.9033111321685225
art appreciation,creative expression,art galleries,art history,local artists,art workshops,cultural events	['art appreciation', 'creative expression', 'art galleries', 'art history', 'local artists', 'art workshops', 'cultural events']	['art appreciation', 'creative expression', 'art galleries']	0.7453213919689182	0.999999984968395	0.8540792436444341
gene editing,ethics discussions	['gene editing', 'ethics discussions']	['genetic engineering', 'ethics discussions', 'genetic disorders']	0.7565648947786492	0.6708697884180138	0.711145016804557
